powierzchnia;liczba_pokoi;liczba_lazienek;cena;data
65;3;1;370000;43363
700;6;2;6480000;43335
100;4;2;620000;43355
174;4;2;580000;43378
62;2;1;499000;43378
56;2;1;530000;43378
27;NA;1;341175;43378
43;2;1;650000;43378
58;2;1;840000;43378
69;3;1;559000;43378
178;5;2;1500000;43378
NA;3;1;2000000;43378
53;3;1;335000;43378
83;4;2;450000;43378
100;3;2;498000;43378
NA;4;2;1111650;43378
360;6;1;1499000;43378
44;2;1;280000;43378
34;2;1;699000;43378
61;3;1;621000;43378
54;3;1;557604;43378
38;2;1;320000;43378
60;2;1;465000;43378
