Czas,Stanowisko
21.46,1
20.77,1
21,1
20.83,1
20.8,1
21.57,1
20.55,1
20.83,1
21.32,1
20.89,1
20.75,1
21.7,1
20.46,1
20.58,1
21.08,1
21.1,1
21.38,1
21.01,1
21.76,1
21.05,1
20.95,1
21.01,1
21.07,1
20.87,1
20.75,1
21.1,1
20.75,1
21.21,1
21.82,1
20.82,1
20.93,1
20.92,1
20.09,1
21.06,1
20.88,1
21,1
21.01,1
21.46,1
21.4,1
21.18,1
20.45,1
21.39,1
20.97,1
21.84,1
21.19,1
20.59,1
20.67,1
20.84,1
20.74,1
21.16,1
21.13,1
21.13,1
22.34,1
22.34,1
21.13,1
21.13,1
21.13,1
20.47,1
22.34,1
22.34,1
20.81,2
20.18,2
20.65,2
20.96,2
20.8,2
19.82,2
20.59,2
20.82,2
20.31,2
20.85,2
20.35,2
21.22,2
20.74,2
20.37,2
20.95,2
20.55,2
20.99,2
21,2
20.79,2
20.45,2
20.45,2
20.15,2
20.88,2
20.54,2
21.13,2
20.75,2
20.67,2
20.56,2
20.83,2
20.34,2
19.98,2
20.88,2
20.29,2
21.15,2
21,2
21.1,2
20.49,2
20.39,2
20.48,2
20.57,2
20.57,2
19.92,2
20.53,2
20.98,2
20.65,2
20.81,3
20.67,3
20.92,3
20.95,3
20.63,3
20.74,3
20.58,3
21.18,3
21.14,3
21.41,3
20.74,3
20.6,3
20.98,3
20.93,3
21.01,3
21.01,3
20.97,3
20.71,3
21.2,3
20.82,3
20.78,3
21.22,3
21.22,3
20.79,3
20.81,3
20.94,3
21.33,3
21.07,3
20.84,3
20.98,3
21.1,3
20.77,3
20.82,3
21.33,3
21.34,3
21.02,3
20.62,3
20.72,3
20.88,3
20.71,3
20.88,3
20.95,3
20.87,3
21.25,3
21.03,3
20.88,3
20.53,3
20.84,3
21.13,3
20.78,3

